目標,請求記号,書名,著者,出版者,出版年,ISBN,紀伊國屋,カーリル
01,369-ﾕ ,貧困襲来,湯浅誠∥著,山吹書店,2007.7,9784903295107,https://www.kinokuniya.co.jp/f/dsg-01-9784903295107,https://calil.jp/book/9784903295107
01,369-ﾜ ,子どもの貧困 - 未来へつなぐためにできること,渡辺由美子∥著,水曜社,2018.5,9784880654393,https://www.kinokuniya.co.jp/f/dsg-01-9784880654393,https://calil.jp/book/9784880654393
01,S367-ｲ ,ルポ貧困女子,飯島裕子∥著,岩波書店,2016.9,9784004316213,https://www.kinokuniya.co.jp/f/dsg-01-9784004316213,https://calil.jp/book/9784004316213
01,S367-ﾌ ,貧困世代 - 社会の監獄に閉じ込められた若者たち,藤田孝典∥著,講談社,2016.3,9784062883580,https://www.kinokuniya.co.jp/f/dsg-01-9784062883580,https://calil.jp/book/9784062883580
01,S368-ｲ ,ルポ若者ホームレス,飯島裕子∥著、ビッグイシュー基金∥著,筑摩書房,2011.1,9784480065896,https://www.kinokuniya.co.jp/f/dsg-01-9784480065896,https://calil.jp/book/9784480065896
01,S368-ﾂ ,ルポ貧困大国アメリカ,堤未果∥著,岩波書店,2008.1,9784004311126,https://www.kinokuniya.co.jp/f/dsg-01-9784004311126,https://calil.jp/book/9784004311126
01,S368-ﾂ ,〈株〉貧困大国アメリカ,堤未果∥著,岩波書店,2013.6,9784004314301,https://www.kinokuniya.co.jp/f/dsg-01-9784004314301,https://calil.jp/book/9784004314301
01,S368-ﾕ ,反貧困 - 「すべり台社会」からの脱出,湯浅誠∥著,岩波書店,2008.4,9784004311249,https://www.kinokuniya.co.jp/f/dsg-01-9784004311249,https://calil.jp/book/9784004311249
02,304-ｾ 3,世界がもし100人の村だったら - たべもの編,池田香代子∥編、マガジンハウス∥編,マガジンハウス,2004.12,4838715463,https://www.kinokuniya.co.jp/f/dsg-01-4838715463,https://calil.jp/book/4838715463
02,333-ﾀ ,世界から貧しさをなくす30の方法,田中優、編、樫田秀樹∥編、マエキタミヤコ∥編,合同出版,2006,4772603778,https://www.kinokuniya.co.jp/f/dsg-01-4772603778,https://calil.jp/book/4772603778
02,333-ﾆ ,世界と地球の困った現実 - まんがで学ぶ開発教育,日本国際飢餓対策機構∥編、みなみななみ∥まんが,明石書店,2003.1,4750317985,https://www.kinokuniya.co.jp/f/dsg-01-4750317985,https://calil.jp/book/4750317985
02,610-ﾎ 2,テーマで探究世界の食・農林漁業・環境 - ほんとうのサステナビリティってなに? 食と農のSDGs,関根佳恵∥編著,農山漁村文化協会,2023.2,9784540221149,https://www.kinokuniya.co.jp/f/dsg-01-9784540221149,https://calil.jp/book/9784540221149
02,610-ﾎ 3,テーマで探究世界の食・農林漁業・環境 - ほんとうのエコシステムってなに? 漁業・林業を知ると世界がわかる,二平章∥編著、佐藤宣子∥編著,農山漁村文化協会,2023.4,9784540221156,https://www.kinokuniya.co.jp/f/dsg-01-9784540221156,https://calil.jp/book/9784540221156
02,611-ｵ ,フードバンクという挑戦 - 貧困と飽食のあいだで,大原悦子∥著,岩波書店,2008.7,9784000246446,https://www.kinokuniya.co.jp/f/dsg-01-9784000246446,https://calil.jp/book/9784000246446
02,611-ｼ ,世界の半分が飢えるのはなぜ? - ジグレール教授がわが子に語る飢餓の真実,ジャン・ジグレール∥著、たかおまゆみ∥訳、勝俣誠∥監訳,合同出版,2003.8,4772603131,https://www.kinokuniya.co.jp/f/dsg-01-4772603131,https://calil.jp/book/4772603131
02,611-ﾐ ,食料の世界地図 - 肉・野菜の道程、食料バランス 遺伝子組換えの進展、食の変化:主食から外食まで,Erik、Millstone∥〔著〕、Tim、Lang∥〔著〕、大賀圭治∥監訳、中山里美∥訳、高田直也∥訳,丸善,2005.1,4621076426,https://www.kinokuniya.co.jp/f/dsg-01-4621076426,https://calil.jp/book/4621076426
02,615-ﾉ ,農業と食の選択が未来を変える - 医・食・環境から見る自然栽培という選択肢,赤穂達郎∥著、井上正康∥著、奥田政行∥著、夫馬賢治∥著、自然栽培協会∥監修,自然栽培協会,2023.7,9784905937999,https://www.kinokuniya.co.jp/f/dsg-01-9784905937999,https://calil.jp/book/9784905937999
03,364-ｲ ,#社会保障、はじめました。,猪熊律子∥著,SCICUS,2018.6,9784866680040,https://www.kinokuniya.co.jp/f/dsg-01-9784866680040,https://calil.jp/book/9784866680040
03,369-ｺ ,子どもによる子どものための「子どもの権利条約」,小口尚子∥文、福岡鮎美∥文,小学館,1995.8,4093871388,https://www.kinokuniya.co.jp/f/dsg-01-4093871388,https://calil.jp/book/4093871388
03,369-ｼ ,ヤングケアラーわたしの語り - 子どもや若者が経験した家族のケア・介護,澁谷智子∥編,生活書院,2020.1,9784865001181,https://www.kinokuniya.co.jp/f/dsg-01-9784865001181,https://calil.jp/book/9784865001181
03,369-ﾏ ,ヤングケアラー - 介護する子どもたち,毎日新聞取材班∥著,毎日新聞出版,2021.11,9784620327150,https://www.kinokuniya.co.jp/f/dsg-01-9784620327150,https://calil.jp/book/9784620327150
